user_id;event_data value_prop;click;cantidad_impresiones;cantidad_clicks;cantidad_pagos;total_pago
73464;send_money;0;0;0;1;50.98
24473;prepaid;1;0;0;1;81.65
75482;point;0;1;0;2;68.69
84762;credits_consumer;1;1;0;4;82.84
99056;credits_consumer;1;0;0;1;15.17
74029;cellphone_recharge;1;0;0;2;43.92
73467;transport;0;0;0;2;26.05
46170;prepaid;0;0;0;2;65.92
37506;credits_consumer;0;0;0;1;35.22
5829;point;0;0;0;1;26.61
88241;send_money;1;0;0;1;53.74
44560;link_cobro;0;2;0;2;209.5
25791;point;0;1;0;2;81.06
79805;transport;0;1;0;2;125.2
58714;prepaid;0;1;0;1;14.6
279;transport;0;0;0;3;75.42
53130;link_cobro;0;0;0;1;82.08
40409;cellphone_recharge;0;1;0;2;21.939999999999998
64085;point;1;0;0;3;17.75
99819;credits_consumer;0;2;0;2;49.97
98534;cellphone_recharge;0;1;0;3;45.11
50683;send_money;0;0;0;1;2.96
47176;credits_consumer;0;0;0;1;134.54
59023;transport;0;1;0;2;35.37
79434;credits_consumer;0;1;1;2;124.25
1822;point;1;1;0;2;97.60000000000001
57651;send_money;0;2;0;1;114.91
75327;cellphone_recharge;0;2;0;4;128.97
5024;credits_consumer;0;0;0;1;68.55
72540;transport;0;0;0;1;9.08
68206;transport;0;0;0;1;28.88
41168;transport;0;0;0;6;425.96000000000004
22681;cellphone_recharge;0;1;0;2;161.66000000000003
54440;cellphone_recharge;0;0;0;1;140.79
96088;point;0;0;0;1;9.61
38817;transport;0;0;0;1;12.82
87439;link_cobro;1;0;0;1;16.5
19953;link_cobro;0;0;0;1;8.48
72963;prepaid;0;0;0;1;0.23
92233;cellphone_recharge;0;1;0;1;37.68
61915;transport;0;0;0;1;2.32
5125;point;0;0;0;2;11.16
94873;prepaid;0;0;0;1;151.35
58920;link_cobro;0;1;0;1;52.07
14559;transport;0;0;0;3;88.09
74828;transport;1;0;0;2;32.58
28997;link_cobro;0;1;0;2;189.93
31153;link_cobro;0;1;0;1;11.13
77920;link_cobro;0;0;0;1;9.24
45332;send_money;0;1;0;2;75.17
59659;credits_consumer;0;0;0;2;55.080000000000005
91044;cellphone_recharge;0;0;0;1;52.58
52081;cellphone_recharge;0;2;0;1;4.68
45941;point;1;0;0;1;8.11
12880;link_cobro;0;1;0;1;98.14
16483;cellphone_recharge;0;0;0;2;31.23
13835;point;0;0;0;1;36.4
65036;prepaid;1;0;0;2;89.81
32796;prepaid;0;0;0;2;53.040000000000006
80248;prepaid;0;0;0;1;108.58
85403;cellphone_recharge;0;2;0;1;106.87
84435;send_money;0;0;0;1;24.46
47149;link_cobro;0;1;0;1;19.59
16195;cellphone_recharge;0;1;0;1;49.93
78972;send_money;0;1;0;1;14.78
76807;link_cobro;0;1;0;2;184.1
99104;transport;0;0;0;2;201.67000000000002
98232;transport;0;1;0;1;88.72
71950;send_money;0;1;1;1;23.59
25368;transport;0;0;0;1;8.56
69723;point;0;1;0;1;9.92
79097;prepaid;1;0;0;1;38.35
68396;transport;0;1;0;2;74.42
72600;send_money;0;0;0;1;146.38
2793;send_money;0;2;0;2;110.5
21726;cellphone_recharge;0;0;0;1;105.79
63153;credits_consumer;0;1;0;2;11.27
41722;point;0;1;0;1;183.38
90207;credits_consumer;0;0;0;2;124.10000000000001
15763;send_money;0;3;0;2;157.31
14404;send_money;0;1;0;3;190.61
51658;cellphone_recharge;0;1;0;1;61.39
8622;transport;0;2;0;2;116.99000000000001
41010;transport;0;2;0;2;135.26
4177;transport;0;0;0;2;123.37
94415;link_cobro;0;0;0;2;46.03
30269;transport;0;0;0;1;24.06
19471;cellphone_recharge;0;0;0;3;105.02
52537;credits_consumer;0;0;0;2;35.06
34590;send_money;0;1;1;3;87.92999999999999
75444;send_money;1;1;0;4;352.43
88134;transport;0;0;0;1;4.52
61577;cellphone_recharge;0;0;0;1;9.16
63273;cellphone_recharge;0;1;0;1;86.07
71187;transport;0;1;0;1;25.56
69917;prepaid;0;0;0;1;36.61
53238;transport;0;1;0;2;178.09
99846;send_money;0;0;0;1;145.75
10413;send_money;0;0;0;2;122.97
89171;transport;0;0;0;2;85.33
10813;send_money;1;1;0;2;101.89
23611;transport;1;1;1;2;37.989999999999995
64086;cellphone_recharge;1;0;0;1;23.02
17619;send_money;0;0;0;2;72.03
27281;credits_consumer;0;0;0;1;78.78
43164;prepaid;0;2;1;2;66.5
65482;send_money;0;2;0;2;171.61
69333;send_money;0;1;0;2;181.63
45132;credits_consumer;0;0;0;1;12.38
74584;cellphone_recharge;0;0;0;2;139.57
79370;send_money;0;0;0;1;74.98
40449;transport;0;0;0;5;194.0
35660;send_money;0;1;0;2;120.98
94904;link_cobro;0;0;0;2;19.53
81304;send_money;0;0;0;1;46.28
96471;cellphone_recharge;0;1;0;1;14.58
23635;link_cobro;0;1;0;2;144.73999999999998
69891;link_cobro;0;2;1;4;116.58000000000001
81184;credits_consumer;0;0;0;1;1.57
89948;cellphone_recharge;0;1;0;2;301.15999999999997
66050;credits_consumer;0;0;0;3;130.05
22006;transport;0;0;0;2;162.64
85528;transport;0;0;0;1;22.0
67738;transport;0;0;0;1;1.43
3843;send_money;0;1;0;2;124.54
37719;link_cobro;0;0;0;2;130.38
32487;link_cobro;0;1;0;1;46.85
69287;prepaid;0;0;0;2;58.97
98793;transport;1;0;0;1;11.21
11660;send_money;0;0;0;3;220.75
65743;link_cobro;0;0;0;2;58.419999999999995
16073;credits_consumer;0;1;0;3;79.71000000000001
58891;link_cobro;0;1;0;2;60.08
58145;prepaid;0;1;0;2;13.65
4592;cellphone_recharge;0;2;0;1;54.28
97577;send_money;0;0;0;2;74.58
80300;credits_consumer;0;0;0;2;23.86
92381;transport;0;1;0;2;91.05
18287;prepaid;0;0;0;1;125.69
50430;cellphone_recharge;0;0;0;2;134.47
6455;send_money;0;1;1;2;58.15
76057;credits_consumer;0;1;1;3;217.25
39623;credits_consumer;1;0;0;2;207.88
74704;cellphone_recharge;0;1;0;1;10.89
8366;point;0;0;0;2;144.70999999999998
31136;credits_consumer;0;0;0;3;188.98
14248;send_money;0;1;0;1;144.68
99767;link_cobro;0;1;0;2;72.8
10068;transport;0;0;0;1;21.48
95920;link_cobro;0;1;1;1;163.93
39393;send_money;0;1;0;1;45.0
79015;prepaid;1;0;0;2;58.989999999999995
32418;transport;0;0;0;2;64.81
59739;cellphone_recharge;0;2;1;2;103.06
43290;point;0;2;1;1;11.82
19016;credits_consumer;0;1;0;2;28.66
4854;point;0;0;0;1;53.58
43078;cellphone_recharge;0;1;0;2;108.38
22646;point;0;2;0;1;4.94
65751;credits_consumer;0;0;0;1;52.78
80365;credits_consumer;1;0;0;1;68.7
7902;send_money;0;0;0;2;114.28999999999999
11464;credits_consumer;0;0;0;3;91.91
41938;prepaid;0;0;0;2;185.18
89836;link_cobro;0;0;0;1;8.91
39348;transport;0;0;0;1;5.75
93681;cellphone_recharge;0;1;1;1;151.1
46030;transport;0;0;0;2;137.61
2298;link_cobro;0;0;0;2;143.4
31612;send_money;0;1;0;1;16.43
37317;transport;0;0;0;1;29.6
50965;credits_consumer;0;4;1;2;155.95
95246;credits_consumer;0;1;0;1;9.18
61332;point;0;2;0;2;94.81
28355;point;0;0;0;1;29.64
53142;point;0;1;0;1;1.62
56466;transport;0;0;0;2;61.67
34159;prepaid;0;0;0;2;116.88
99528;transport;0;2;1;2;278.51
92036;cellphone_recharge;0;1;0;1;12.69
27003;credits_consumer;0;0;0;1;16.78
34310;credits_consumer;0;0;0;1;108.95
98780;send_money;0;0;0;1;89.82
90641;send_money;0;0;0;1;18.63
27358;send_money;0;0;0;2;49.72
43935;transport;0;0;0;1;10.1
32670;credits_consumer;0;0;0;1;97.63
77272;cellphone_recharge;0;1;0;1;15.58
81543;send_money;0;0;0;2;136.45
91110;credits_consumer;0;0;0;2;45.78
49218;credits_consumer;0;0;0;1;79.33
21864;link_cobro;0;1;0;2;26.67
7392;cellphone_recharge;0;2;0;1;97.91
2158;link_cobro;0;1;0;2;104.69
30810;prepaid;0;1;0;1;132.29
39458;point;0;2;1;1;83.25
66892;link_cobro;0;1;0;2;207.96
47650;transport;0;0;0;1;36.98
89336;transport;1;1;0;1;9.63
40638;credits_consumer;0;4;0;1;2.2
55876;transport;0;0;0;2;76.8
37875;credits_consumer;0;0;0;2;107.63
45669;link_cobro;0;1;0;2;194.87
42946;send_money;0;2;0;2;51.71
37911;link_cobro;0;0;0;2;194.14999999999998
26086;cellphone_recharge;0;0;0;1;9.48
18245;transport;0;1;0;2;230.45999999999998
49167;cellphone_recharge;0;0;0;1;38.85
94038;prepaid;1;1;0;1;13.65
10414;prepaid;0;0;0;1;21.19
37331;cellphone_recharge;0;0;0;1;166.57
81877;link_cobro;0;1;0;2;90.27000000000001
36887;point;0;2;0;1;12.16
65978;link_cobro;0;2;1;2;23.91
83765;cellphone_recharge;0;0;0;1;17.19
15531;transport;0;0;0;2;153.72
36955;point;0;0;0;2;152.62
44887;credits_consumer;0;1;0;1;83.58
9920;point;0;2;0;1;13.71
78526;send_money;0;0;0;2;175.57999999999998
75714;credits_consumer;1;0;0;1;2.7
27528;link_cobro;1;1;0;1;76.65
81126;prepaid;0;3;0;1;104.05
52118;point;1;0;0;1;142.7
31564;link_cobro;0;1;0;3;267.92
54777;credits_consumer;0;1;0;3;169.93
60089;link_cobro;0;1;0;1;61.18
57160;cellphone_recharge;0;1;0;1;5.23
75034;send_money;0;0;0;2;61.33
93655;prepaid;1;0;0;2;137.8
55851;prepaid;0;2;0;1;1.51
33663;prepaid;0;0;0;2;65.06
19059;link_cobro;0;1;0;2;17.33
16947;prepaid;0;1;0;2;22.36
28422;point;0;0;0;4;205.09
28571;link_cobro;1;1;0;1;157.3
40913;send_money;0;0;0;1;28.69
73656;transport;0;0;0;5;165.78000000000003
78442;point;0;0;0;3;241.60000000000002
45406;send_money;1;0;0;2;31.57
7101;cellphone_recharge;0;1;0;2;155.87
71671;send_money;0;2;1;3;82.93
76013;cellphone_recharge;0;1;0;1;3.81
20735;send_money;0;1;0;1;6.32
99751;transport;0;0;0;3;92.24
79588;cellphone_recharge;0;2;0;3;177.07999999999998
93073;send_money;0;2;1;1;44.38
4317;send_money;0;0;0;1;40.33
19824;point;0;0;0;2;93.6
90583;credits_consumer;0;0;0;3;162.45
34113;credits_consumer;0;1;0;1;29.25
1190;link_cobro;0;2;0;2;56.199999999999996
598;credits_consumer;0;0;0;2;83.8
82444;transport;0;1;0;3;94.20000000000002
